Size	Food	Reference	Group
100	Avocado	Avocados, raw, all commercial varieties	Fruits
100	Banana	Bananas, raw	Fruits
100	Banana Pie	Pie, banana cream, prepared from mix, no-bake type	Fruits
100	Acerola	Acerola, (west indian cherry), raw	Fruits
100	Apples	Apples, raw, with skin	Fruits
100	Apricots	Apricots, raw	Fruits
100	Blueberries	Blueberries, raw	Fruits
100	Carambola	Carambola, (starfruit), raw	Fruits
100	Cherries Sour	Cherries, sour, red, raw	Fruits
100	Cherries Sweet	Cherries, sweet, raw	Fruits
100	Cranberries	Cranberries, raw	Fruits
100	Figs	Figs, raw	Fruits
100	Grapefruit Red	Grapefruit, raw, pink and red and white, all areas	Fruits
100	Grapefruit White	Grapefruit, raw, white, all areas	Fruits
100	Grapes	Grapes, red or green (European type, such as Thompson seedless), raw	Fruits
100	Guavas	Guavas, common, raw	Fruits
100	Kiwifruit	Kiwifruit, green, raw	Fruits
100	Lemons	Lemons, raw, without peel	Fruits
100	Limes	Limes, raw	Fruits
100	Litchis	Litchis, raw	Fruits
100	Mangos	Mangos, raw	Fruits
100	Melons	Melons, casaba, raw	Fruits
100	Nectarines	Nectarines, raw	Fruits
100	Oranges	Oranges, raw, all commercial varieties	Fruits
100	Papayas	Papayas, raw	Fruits
100	Passion-fruit	Passion-fruit, (granadilla), purple, raw	Fruits
100	Peaches	Peaches, raw	Fruits
100	Pears	Pears, raw, bartlett	Fruits
100	Pineapple	Pineapple, raw, all varieties	Fruits
100	Pitanga	Pitanga, (surinam-cherry), raw	Fruits
100	Plums	Plums, raw	Fruits
100	Pomegranates	Pomegranates, raw	Fruits
100	Raspberries	Raspberries, raw	Fruits
100	Strawberries	Strawberries, raw	Fruits
100	Tangerines	Tangerines, (mandarin oranges), raw	Fruits
100	Watermelon	Watermelon, raw	Fruits
100	Artichokes	Artichokes, (globe or french), cooked, boiled, drained, with salt	Vegetables
100	Asparagus	Asparagus, cooked, boiled, drained, with salt	Vegetables
100	Beets	Beets, cooked, boiled. drained, with salt	Vegetables
100	Broccoli	Broccoli, cooked, boiled, drained, with salt	Vegetables
